Wall time,Step,Value
1723000434.145960,40345600,0.16
1723000455.161460,40448000,0.16
1723000478.5477200,40550400,0.16
1723000492.648110,40601600,0.16
1723000505.415990,40652800,0.16
1723000519.641440,40704000,0.16
1723000533.402270,40755200,0.16
1723000549.445400,40806400,0.16
1723000580.151150,40908800,0.16
1723000614.4155400,41011200,0.16
1723000650.173170,41113600,0.16
1723000709.5764000,41267200,0.16
1723000753.301500,41369600,0.16
1723000775.443900,41420800,0.16
1723000799.513570,41472000,0.16
1723000900.967720,41676800,0.16
1723000956.750510,41779200,0.16
1723000985.656430,41830400,0.16
1723001047.418800,41932800,0.16
1723001148.5365,42086400,0.16
1723001297.108410,42291200,0.16
1723001419.745090,42444800,0.16
1723001551.1932000,42598400,0.16
1723001602.2300800,42649600,0.16
1723001698.594710,42752000,0.16
1723001799.7917400,42854400,0.16
1723001908.857560,42956800,0.16
1723002203.410420,43212800,0.16
1723002329.366320,43315200,0.16
1723002391.329020,43366400,0.16
1723002459.047790,43417600,0.16
1723002525.724400,43468800,0.16
1723002611.900470,43622400,0.16
1723002676.266470,43929600,0.16
1723002697.2106900,44032000,0.16
1723002708.606360,44083200,0.16
1723002719.6699900,44134400,0.16
1723002740.782970,44236800,0.16
1723002782.975610,44441600,0.16
1723002803.78352,44544000,0.16
1723002813.718570,44595200,0.16
1723002855.126800,44800000,0.16
1723002865.9783500,44851200,0.16
1723002875.903240,44902400,0.16
1723002885.8195800,44953600,0.16
1723002917.3338900,45107200,0.16
1723002928.3111,45158400,0.16
1723002938.303080,45209600,0.16
1723002960.09724,45312000,0.16
1723002991.1151900,45465600,0.16
1723003012.7739100,45568000,0.16
1723003022.897970,45619200,0.16
1723003043.75904,45721600,0.16
1723003053.686120,45772800,0.16
1723003085.164,45926400,0.16
1723003115.873890,46080000,0.16
1723003125.8644400,46131200,0.16
1723003154.703420,46489600,0.16
1723003160.3458300,46540800,0.16
1723003165.8170400,46592000,0.16
1723003170.400130,46643200,0.16
1723003174.9930700,46694400,0.16
1723003179.861840,46745600,0.16
1723003184.8481200,46796800,0.16
1723003197.291470,46899200,0.16
1723003203.15535,46950400,0.16
1723003208.730150,47001600,0.16
1723003229.724200,47155200,0.16
1723003236.413170,47206400,0.16
1723003242.977060,47257600,0.16
1723003250.597080,47308800,0.16
1723003265.6679500,47411200,0.16
1723003316.0049600,47718400,0.16
1723003324.339440,47769600,0.16
1723003353.8988100,47923200,0.16
1723003436.722370,48281600,0.16
1723003480.135260,48435200,0.16
1723003602.8728800,48793600,0.16
1723003623.375140,48844800,0.16
1723003644.874770,48896000,0.16
1723003687.041090,48998400,0.16
1723003711.028240,49049600,0.16
1723003734.112460,49100800,0.16
1723003808.0568100,49254400,0.16
1723003835.271230,49305600,0.16
1723003890.2995800,49408000,0.16
1723003949.974040,49510400,0.16
1723003981.0719700,49561600,0.16
1723004113.536150,49766400,0.16
1723004148.829700,49817600,0.16
1723004303.8426400,50022400,0.16
1723004344.645570,50073600,0.16
1723004386.016190,50124800,0.16
1723004430.473130,50176000,0.16
1723004568.554240,50329600,0.16
1723004617.860600,50380800,0.16
1723004667.265250,50432000,0.16
1723004821.376340,50585600,0.16
1723004875.576430,50636800,0.16
1723005349.737550,51046400,0.16
1723005551.189990,51200000,0.16
1723005556.399200,51251200,0.16
1723005579.177150,51353600,0.16
1723005600.390200,51456000,0.16
1723005610.4787700,51507200,0.16
1723005641.2,51660800,0.16
1723005651.892280,51712000,0.16
1723005672.6632300,51814400,0.16
1723005682.525190,51865600,0.16
1723005694.348960,51916800,0.16
1723005704.335260,51968000,0.16
1723005734.940040,52121600,0.16
1723005817.739600,52531200,0.16
1723005839.34399,52633600,0.16
1723005859.6573100,52736000,0.16
1723005880.398120,52838400,0.16
1723005890.9794800,52889600,0.16
1723005902.0845900,52940800,0.16
1723005921.908880,53043200,0.16
1723005942.6265500,53145600,0.16
1723005953.086110,53196800,0.16
1723005964.075540,53248000,0.16
1723005995.27657,53401600,0.16
1723006015.105920,53504000,0.16
1723006082.0353,53862400,0.16
1723006086.139320,53913600,0.16
1723006097.923560,54067200,0.16
1723006106.102560,54169600,0.16
1723006135.54335,54476800,0.16
1723006141.958120,54528000,0.16
1723006153.077440,54630400,0.16
1723006163.532960,54732800,0.16
1723006188.339090,54937600,0.16
1723006201.699110,55040000,0.16
1723006214.85292,55142400,0.16
1723006229.0381200,55244800,0.16
1723006244.459650,55347200,0.16
1723006270.568260,55500800,0.16
1723006279.055420,55552000,0.16
1723006289.157270,55603200,0.16
1723006299.12054,55654400,0.16
1723006365.65244,55961600,0.16
1723006379.815610,56012800,0.16
1723006468.953230,56320000,0.16
1723006503.200270,56422400,0.16
1723006539.429740,56524800,0.16
1723006557.686040,56576000,0.16
1723006576.9806900,56627200,0.16
1723006780.3842100,57088000,0.16
1723006833.823540,57190400,0.16
1723006916.607090,57344000,0.16
1723007041.817000,57548800,0.16
1723007108.359260,57651200,0.16
1723007143.096040,57702400,0.16
1723007179.465570,57753600,0.16
1723007292.037140,57907200,0.16
1723007332.034940,57958400,0.16
1723007418.679550,58060800,0.16
1723007461.8890500,58112000,0.16
1723007504.670510,58163200,0.16
1723007643.521300,58316800,0.16
1723007690.5344400,58368000,0.16
1723008244.902120,58880000,0.16
1723008260.511600,58982400,0.16
1723008270.382860,59033600,0.16
1723008301.016730,59187200,0.16
1723008312.6077100,59238400,0.16
1723008322.582710,59289600,0.16
1723008353.241910,59443200,0.16
1723008363.5065600,59494400,0.16
1723008373.772820,59545600,0.16
1723008528.199240,60313600,0.16
1723008558.8079400,60467200,0.16
1723008580.040950,60569600,0.16
1723008589.9753700,60620800,0.16
1723008610.410830,60723200,0.16
1723008620.433440,60774400,0.16
1723008651.515460,60928000,0.16
1723008681.854380,61081600,0.16
1723008691.801800,61132800,0.16
1723008702.264360,61184000,0.16
1723008712.872060,61235200,0.16
1723008733.375600,61337600,0.16
1723008753.121100,61440000,0.16
1723008768.134850,61542400,0.16
1723008775.9252900,61644800,0.16
1723008779.818500,61696000,0.16
1723008789.181560,61798400,0.16
1723008797.6774800,61900800,0.16
1723008806.386150,62003200,0.16
1723008811.0035900,62054400,0.16
1723008816.558510,62105600,0.16
1723008822.973780,62156800,0.16
1723008828.209980,62208000,0.16
1723008887.1978500,62720000,0.16
1723008915.5785000,62924800,0.16
1723008948.471240,63129600,0.16
1723008956.940650,63180800,0.16
1723008966.117670,63232000,0.16
1723008985.676340,63334400,0.16
1723009016.689730,63488000,0.16
1723009054.27438,63641600,0.16
1723009081.0820300,63744000,0.16
1723009110.7177400,63846400,0.16
1723009126.441000,63897600,0.16
1723009159.347740,64000000,0.16
1723009232.047330,64204800,0.16
1723009252.59527,64256000,0.16
1723009273.437260,64307200,0.16
1723009317.3272700,64409600,0.15
1723009340.297780,64460800,0.15
1723009412.312550,64614400,0.15
1723009438.547750,64665600,0.15
1723009465.136380,64716800,0.15
1723009493.173030,64768000,0.15
1723009521.526680,64819200,0.15
1723009550.671230,64870400,0.15
1723009713.144720,65126400,0.15
1723009748.6647700,65177600,0.15
1723009824.856250,65280000,0.15
1723009987.068020,65484800,0.15
1723010031.644260,65536000,0.15
1723010121.033270,65638400,0.15
1723010323.428500,65843200,0.15
1723010429.6375900,65945600,0.15
1723010660.060630,66150400,0.15
1723010719.7435700,66201600,0.15
1723010781.358820,66252800,0.15
1723010844.43239,66304000,0.15
1723010970.039270,66406400,0.15
1723011175.611880,66560000,0.15
1723011180.373090,66611200,0.15
1723011202.114020,66713600,0.15
1723011212.323750,66764800,0.15
1723011223.077640,66816000,0.15
1723011286.718690,67123200,0.15
1723011306.540100,67225600,0.15
1723011318.369470,67276800,0.15
1723011338.440310,67379200,0.15
1723011349.324120,67430400,0.15
1723011380.957170,67584000,0.15
1723011391.058140,67635200,0.15
1723011443.260200,67891200,0.15
1723011453.616010,67942400,0.15
1723011464.615580,67993600,0.15
1723011496.7497300,68147200,0.15
1723011516.7141800,68249600,0.15
1723011527.858840,68300800,0.15
1723011537.997610,68352000,0.15
1723011548.031100,68403200,0.15
1723011559.133910,68454400,0.15
1723011569.295720,68505600,0.15
1723011601.077640,68659200,0.15
